City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.83,overcast clouds,-21.2,-175.2,Keleti Beach Resort
2,Lazaro Cardenas,MX,81.16,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
4,Rikitea,PF,77.11,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Cabo Rojo,PR,78.98,broken clouds,18.0866,-67.1457,Hotel Perichi's
26,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Hobyo,SO,76.62,light rain,5.3505,48.5268,Halane Hotel and Restaurent
32,San Alberto,CO,79.36,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
34,Ugoofaaru,MV,82.11,broken clouds,5.6667,73.0,Ungoofaaru Inn
40,Cabo San Lucas,MX,77.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
45,Mogadishu,SO,76.89,overcast clouds,2.0371,45.3438,Hotel Juba
56,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Tumbagaan,PH,81.28,scattered clouds,5.3656,120.3139,
62,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
76,Hilo,US,77.79,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
78,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
87,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
89,Ibimirim,BR,78.4,broken clouds,-8.5406,-37.6903,Hotel Paulistão
92,Samarai,PG,83.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
96,Kavaratti,IN,81.21,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
103,Palmas,BR,80.47,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
106,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
112,Acarau,BR,77.49,overcast clouds,-2.8856,-40.12,castelo pizzaria
114,Los Amates,GT,78.42,overcast clouds,15.2667,-89.1,Las Basas
120,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Bolobo,CD,76.33,broken clouds,-2.1667,16.2333,Hotel de Stephen
125,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
