City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.83,73,100,10.65,overcast clouds
1,Jamestown,US,42.097,-79.2353,18.72,85,100,0.0,overcast clouds
2,Lazaro Cardenas,MX,17.9583,-102.2,81.16,55,0,9.44,clear sky
3,Cape Town,ZA,-33.9258,18.4232,72.12,78,0,3.0,clear sky
4,Rikitea,PF,-23.1203,-134.9692,77.11,71,100,5.77,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,74.64,78,100,7.67,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,73.15,90,98,16.35,overcast clouds
7,Yellowknife,CA,62.456,-114.3525,-6.45,81,75,6.91,light snow
8,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,21.85,clear sky
9,Cabo Rojo,PR,18.0866,-67.1457,78.98,80,59,4.07,broken clouds
10,Choszczno,PL,53.169,15.4205,36.12,86,17,14.05,few clouds
11,Dikson,RU,73.5069,80.5464,-5.21,94,100,22.3,overcast clouds
12,Tateyama,JP,34.9833,139.8667,43.07,48,98,16.33,overcast clouds
13,Anori,BR,-3.7728,-61.6442,73.4,97,81,2.1,broken clouds
14,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.45,94,100,2.82,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,44.26,70,40,28.77,scattered clouds
16,Victoria,HK,22.2855,114.1577,58.32,77,90,3.0,overcast clouds
17,Castro,BR,-24.7911,-50.0119,62.76,99,98,8.77,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,71.91,85,96,13.49,overcast clouds
19,Matara,LK,5.9485,80.5353,74.34,93,30,5.37,scattered clouds
20,Pueblo Nuevo,MX,23.3833,-105.3833,59.31,38,65,5.19,broken clouds
21,Veraval,IN,20.9,70.3667,64.87,59,0,8.7,clear sky
22,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,79,75,6.71,light snow
23,Nome,US,64.5011,-165.4064,1.11,71,0,0.0,clear sky
24,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,26.46,broken clouds
25,Torbay,CA,47.6666,-52.7314,37.38,82,75,23.02,broken clouds
26,Kapaa,US,22.0752,-159.319,81.48,65,0,1.99,clear sky
27,Pevek,RU,69.7008,170.3133,-16.64,99,96,1.57,overcast clouds
28,Hobyo,SO,5.3505,48.5268,76.62,79,97,15.52,light rain
29,Netrakona,BD,24.8833,90.7167,53.46,63,0,5.28,clear sky
30,Ustka,PL,54.5805,16.8619,35.71,68,6,19.73,clear sky
31,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,72,20,17.27,few clouds
32,San Alberto,CO,7.7611,-73.3922,79.36,71,100,4.81,overcast clouds
33,Nantucket,US,41.2835,-70.0995,21.34,60,0,10.36,clear sky
34,Ugoofaaru,MV,5.6667,73.0,82.11,75,53,13.47,broken clouds
35,Fortuna,US,40.5982,-124.1573,57.42,80,0,6.91,clear sky
36,Ostrovnoy,RU,68.0531,39.5131,8.17,95,93,8.21,overcast clouds
37,Ponta Do Sol,PT,32.6667,-17.1,65.12,38,1,10.09,clear sky
38,Bluff,NZ,-46.6,168.3333,71.8,84,82,5.21,broken clouds
39,Pacific Grove,US,36.6177,-121.9166,67.06,71,0,5.99,clear sky
40,Cabo San Lucas,MX,22.8909,-109.9124,77.61,70,83,7.63,broken clouds
41,Bethel,US,41.3712,-73.414,22.5,56,0,3.44,clear sky
42,Ambilobe,MG,-13.2,49.05,73.54,94,70,1.05,broken clouds
43,Butaritari,KI,3.0707,172.7902,82.04,76,28,20.92,light rain
44,Lebu,CL,-37.6167,-73.65,58.21,71,0,21.14,clear sky
45,Mogadishu,SO,2.0371,45.3438,76.89,79,92,19.57,overcast clouds
46,Port-Cartier,CA,50.0334,-66.8654,9.75,84,72,10.18,broken clouds
47,Saint George,US,37.1041,-113.5841,63.07,16,0,1.01,clear sky
48,Szekesfehervar,HU,47.1899,18.4103,39.9,62,5,19.64,clear sky
49,New Norfolk,AU,-42.7826,147.0587,73.76,42,3,2.73,clear sky
50,Ola,RU,59.5833,151.2833,6.44,78,99,12.82,overcast clouds
51,Khatanga,RU,71.9667,102.5,-5.31,98,98,8.84,overcast clouds
52,Severo-Kurilsk,RU,50.6789,156.125,28.36,95,100,7.45,snow
53,Ilyich,KZ,40.8464,68.5067,32.77,64,2,4.72,clear sky
54,Poronaysk,RU,49.2167,143.1167,7.95,86,97,3.89,overcast clouds
55,Ust-Kulom,RU,61.6864,53.6902,-9.99,100,88,2.89,overcast clouds
56,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
57,Tasiilaq,GL,65.6145,-37.6368,8.76,53,98,8.77,overcast clouds
58,Buraydah,SA,26.326,43.975,55.85,44,88,10.33,overcast clouds
59,Tumbagaan,PH,5.3656,120.3139,81.28,75,37,8.08,scattered clouds
60,Krasnoselkup,RU,65.7,82.4667,3.15,95,99,8.61,overcast clouds
61,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,light snow
62,Atuona,PF,-9.8,-139.0333,78.19,78,14,15.01,light rain
63,Qaanaaq,GL,77.484,-69.3632,-7.42,68,100,6.53,overcast clouds
64,Paamiut,GL,61.994,-49.6678,16.02,85,100,9.89,snow
65,Luderitz,NA,-26.6481,15.1594,64.33,88,60,12.46,broken clouds
66,Albany,US,42.6001,-73.9662,16.45,50,23,3.83,few clouds
67,Mataura,NZ,-46.1927,168.8643,71.47,54,49,2.42,scattered clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,20.71,light snow
69,Guerrero Negro,MX,27.9769,-114.0611,63.59,55,87,13.85,overcast clouds
70,Tiksi,RU,71.6872,128.8694,-18.56,100,97,4.27,overcast clouds
71,Clyde River,CA,70.4692,-68.5914,-21.77,69,20,5.75,few clouds
72,Filadelfia,US,39.9523,-75.1638,24.91,60,0,1.99,clear sky
73,Hobart,AU,-42.8794,147.3294,74.12,64,20,1.01,few clouds
74,Chuy,UY,-33.6971,-53.4616,70.97,78,13,14.14,few clouds
75,Cherskiy,RU,68.75,161.3,-28.21,99,98,1.63,overcast clouds
76,Hilo,US,19.7297,-155.09,77.79,64,20,8.05,few clouds
77,Langsa,ID,4.4683,97.9683,72.09,97,87,2.39,overcast clouds
78,Belmonte,BR,-15.8631,-38.8828,79.3,83,9,11.45,clear sky
79,Vezirkopru,TR,41.1436,35.4547,28.89,91,100,2.59,light snow
80,Thompson,CA,55.7435,-97.8558,3.36,78,20,4.61,few clouds
81,Klaksvik,FO,62.2266,-6.589,36.52,54,99,40.24,overcast clouds
82,San Cristobal,VE,7.7669,-72.225,68.18,91,97,3.09,overcast clouds
83,San Patricio,US,28.017,-97.5169,68.09,68,63,11.03,broken clouds
84,East London,ZA,-33.0153,27.9116,74.16,84,88,14.05,overcast clouds
85,Tulsipur,NP,28.131,82.2973,47.59,81,0,4.21,clear sky
86,Tyrma,RU,50.0833,132.1667,-19.26,98,59,0.18,broken clouds
87,Broken Hill,AU,-31.95,141.4333,78.51,73,40,8.05,scattered clouds
88,Monteagudo,BO,-19.8167,-63.9833,74.98,50,25,2.08,scattered clouds
89,Ibimirim,BR,-8.5406,-37.6903,78.4,60,69,11.1,broken clouds
90,Adwa,ET,14.1646,38.8955,59.16,76,20,0.76,few clouds
91,Te Anau,NZ,-45.4167,167.7167,71.46,61,34,2.37,scattered clouds
92,Samarai,PG,-10.6167,150.6667,83.7,70,100,11.79,overcast clouds
93,Shimsk,RU,58.212,30.7127,26.24,97,100,5.97,light snow
94,Griffith,US,41.5284,-87.4237,30.13,74,100,3.44,overcast clouds
95,Dalwangan,PH,8.2006,125.0406,64.51,84,49,1.28,scattered clouds
96,Kavaratti,IN,10.5669,72.642,81.21,72,11,5.53,few clouds
97,Tottori,JP,35.5,134.2333,35.67,93,75,3.44,broken clouds
98,Lompoc,US,34.6391,-120.4579,71.08,60,0,16.11,clear sky
99,Azare,NG,11.6765,10.1948,60.21,18,30,8.43,scattered clouds
100,Kabinda,CD,-6.1333,24.4833,65.23,97,100,2.62,moderate rain
101,Jalu,LY,29.0331,21.5482,54.34,59,82,13.91,broken clouds
102,Leningradskiy,RU,69.3833,178.4167,-14.26,94,80,4.23,broken clouds
103,Palmas,BR,-10.2128,-48.3603,80.47,83,75,8.05,broken clouds
104,Kamaishi,JP,39.2667,141.8833,27.55,51,25,9.46,scattered clouds
105,Camacha,PT,33.0833,-16.3333,61.56,82,20,18.41,few clouds
106,Santa Cruz,BO,-17.8,-63.1667,87.85,45,11,6.91,few clouds
107,Yakovlevo,RU,50.8603,36.4478,30.45,95,99,13.91,overcast clouds
108,Zeya,RU,53.75,127.2667,-5.89,88,52,3.51,broken clouds
109,Sitka,US,57.0531,-135.33,39.09,75,75,5.75,broken clouds
110,Saskylakh,RU,71.9167,114.0833,-21.86,100,99,2.68,overcast clouds
111,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,5.3,light snow
112,Acarau,BR,-2.8856,-40.12,77.49,82,100,9.53,overcast clouds
113,Petropavl,KZ,54.8753,69.1628,10.54,95,100,8.55,light snow
114,Los Amates,GT,15.2667,-89.1,78.42,90,97,1.3,overcast clouds
115,Otjiwarongo,NA,-20.4637,16.6477,64.63,92,100,8.34,moderate rain
116,Barrow,US,71.2906,-156.7887,-5.78,77,75,10.36,light snow
117,Narsaq,GL,60.9167,-46.05,19.62,83,100,19.66,snow
118,Avarua,CK,-21.2078,-159.775,73.45,94,40,8.05,moderate rain
119,Harda,IN,22.3333,77.1,57.2,34,1,0.83,clear sky
120,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,light rain
121,Bolobo,CD,-2.1667,16.2333,76.33,69,80,3.8,broken clouds
122,Busselton,AU,-33.65,115.3333,66.09,57,93,19.69,overcast clouds
123,Saldanha,ZA,-33.0117,17.9442,68.05,92,66,6.08,broken clouds
124,Abu Kamal,SY,34.4506,40.9171,45.27,64,39,8.48,scattered clouds
125,Carnarvon,AU,-24.8667,113.6333,80.67,69,41,17.27,scattered clouds
126,Geraldton,AU,-28.7667,114.6,73.81,78,40,11.5,scattered clouds
127,Mayo,US,38.8876,-76.5119,31.24,57,100,1.99,overcast clouds
128,Guhagar,IN,17.4842,73.1929,67.08,60,0,4.9,clear sky
129,Thio,NC,-21.6167,166.2167,85.96,74,98,2.51,light rain
130,Kodiak,US,57.79,-152.4072,27.91,64,0,11.5,clear sky
131,Ler,SS,8.3018,30.1418,72.77,24,80,6.08,broken clouds
132,Iqaluit,CA,63.7506,-68.5145,-22.27,76,0,5.75,clear sky
133,La Palma,US,33.8464,-118.0467,75.96,52,0,8.99,clear sky
134,Mar Del Plata,AR,-38.0023,-57.5575,67.87,77,75,14.0,broken clouds
135,Thunder Bay,CA,48.4001,-89.3168,11.55,72,75,6.91,broken clouds
136,Garmsar,IR,35.2182,52.3409,40.23,37,0,8.39,clear sky
137,Katsuura,JP,35.1333,140.3,43.11,46,99,11.86,overcast clouds
138,Virden,US,39.5009,-89.7679,30.02,64,70,6.51,broken clouds
139,Santa Rosalia,MX,27.3167,-112.2833,63.21,40,100,4.45,overcast clouds
140,Naze,JP,28.3667,129.4833,50.92,62,94,18.59,overcast clouds
141,Siilinjarvi,FI,63.0833,27.6667,21.22,86,100,4.61,light snow
142,Knyaginino,RU,55.8228,45.0349,10.56,99,95,6.26,overcast clouds
143,Hohhot,CN,40.8106,111.6522,1.69,60,0,4.47,clear sky
144,Lagoa,PT,39.05,-27.9833,58.78,68,61,24.56,broken clouds
145,Provideniya,RU,64.3833,-173.3,10.51,67,0,17.9,clear sky
146,Yevlax,AZ,40.6089,47.1492,26.82,47,6,8.68,clear sky
147,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,42,10.47,scattered clouds
148,Malanje,AO,-9.5402,16.341,64.33,96,100,3.89,overcast clouds
149,Talnakh,RU,69.4865,88.3972,-15.79,94,87,9.06,overcast clouds
150,Ferrol,ES,43.4832,-8.2369,50.27,81,0,8.39,clear sky
151,Chapar,IN,26.2667,90.4667,54.39,59,0,2.19,clear sky
152,Lorengau,PG,-2.0226,147.2712,79.72,83,100,12.48,overcast clouds
153,Sheridan,US,44.8333,-106.9173,53.98,19,0,3.44,clear sky
154,Japura,ID,-0.3167,102.35,73.81,97,63,0.74,broken clouds
155,Ancud,CL,-41.8697,-73.8203,60.42,66,33,8.97,scattered clouds
156,Bredasdorp,ZA,-34.5322,20.0403,69.12,88,88,8.05,overcast clouds
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.58,92,28,4.36,scattered clouds
158,Lavrentiya,RU,65.5833,-171.0,-5.03,91,6,4.23,clear sky
159,Flinders,AU,-34.5833,150.8552,84.06,69,17,5.01,few clouds
160,Chokurdakh,RU,70.6333,147.9167,-29.65,96,16,2.21,few clouds
161,Greenwood,US,34.1668,-82.1165,49.44,37,0,8.05,clear sky
162,Umm Kaddadah,SD,13.6017,26.6876,55.58,19,0,15.37,clear sky
163,Chincha Alta,PE,-13.4099,-76.1323,72.19,84,77,3.49,broken clouds
164,Yongchang,CN,30.0381,119.7317,34.36,85,61,0.34,broken clouds
165,Tambura,SS,5.6,27.4667,67.37,24,86,5.03,overcast clouds
166,Ambanja,MG,-13.6833,48.45,75.07,92,87,2.55,overcast clouds
167,Tomislavgrad,BA,43.7181,17.2267,20.14,83,4,5.79,clear sky
168,Riyadh,SA,24.6877,46.7219,53.74,45,0,10.22,clear sky
169,Carbondale,US,37.7273,-89.2168,37.54,54,0,8.05,clear sky
170,Korem,ET,12.5058,39.5228,49.57,70,69,1.28,broken clouds
171,Huntsville,US,34.7304,-86.5861,53.73,36,0,6.91,clear sky
172,Kaitangata,NZ,-46.2817,169.8464,69.93,71,18,5.95,few clouds
173,Zyryanovsk,KZ,49.7386,84.2719,-7.55,95,100,1.83,overcast clouds
174,Georgetown,MY,5.4112,100.3354,78.89,90,20,5.01,few clouds
175,Korla,CN,41.7597,86.1469,23.58,57,100,4.12,overcast clouds
176,Magdagachi,RU,53.45,125.8,-7.04,92,88,4.25,overcast clouds
177,Ribeira Grande,PT,38.5167,-28.7,59.74,71,63,23.22,broken clouds
178,Tarnow,PL,50.0138,20.987,38.37,79,100,24.23,light snow
179,Marrakesh,MA,31.6315,-8.0083,68.07,37,75,13.8,broken clouds
180,Nogliki,RU,51.8333,143.1667,2.8,95,100,18.75,light snow
181,Lima,PE,-12.0432,-77.0282,71.91,81,0,1.01,clear sky
182,Zwedru,LR,6.0667,-8.1281,70.27,90,71,3.4,broken clouds
183,Ilulissat,GL,69.2167,-51.1,3.22,55,20,18.41,few clouds
184,Port Lincoln,AU,-34.7333,135.8667,71.31,70,39,7.99,scattered clouds
185,Tuatapere,NZ,-46.1333,167.6833,71.82,65,37,4.92,scattered clouds
186,Samana,DO,19.2056,-69.3369,78.76,83,12,4.68,few clouds
187,Marzuq,YE,14.4,46.4667,59.2,81,6,4.74,clear sky
188,Gazli,UZ,40.1333,63.45,32.77,64,80,13.82,broken clouds
189,Manzanillo,CU,20.3433,-77.1167,68.18,66,100,13.87,overcast clouds
190,Uyemskiy,RU,64.4743,40.8524,15.85,92,100,2.24,light snow
191,Kiama,AU,-34.6833,150.8667,84.25,68,24,7.0,few clouds
192,Svetlogorsk,BY,52.6333,29.7333,30.04,96,100,7.83,overcast clouds
193,Codrington,AU,-38.2667,141.9667,77.34,62,51,0.56,broken clouds
194,Miranda De Ebro,ES,42.6865,-2.947,39.24,93,4,3.89,clear sky
195,Hamilton,US,39.1834,-84.5333,36.23,70,20,3.53,few clouds
196,Matamoros,MX,25.5333,-103.25,77.11,19,34,8.19,scattered clouds
197,Spearfish,US,44.4908,-103.8594,45.48,32,75,8.05,broken clouds
198,Betare Oya,CM,5.6,14.0833,66.79,25,97,4.88,overcast clouds
199,Jega,NG,12.2175,4.3792,71.26,12,50,17.05,scattered clouds
200,Blagoveshchensk,RU,50.2667,127.5333,-3.39,71,0,4.47,clear sky
201,Cairns,AU,-16.9167,145.7667,90.95,69,100,3.44,overcast clouds
202,Kutum,SD,14.2,24.6667,51.48,19,1,9.22,clear sky
203,Kavieng,PG,-2.5744,150.7967,81.68,76,93,1.72,light rain
204,Sobolevo,RU,54.4299,31.8996,29.37,98,99,4.72,light snow
205,Avera,US,33.194,-82.5271,55.27,63,0,8.59,clear sky
206,Morondava,MG,-20.2833,44.2833,80.56,72,15,6.8,few clouds
207,Kununurra,AU,-15.7667,128.7333,82.38,78,75,16.11,broken clouds
208,Puerto Escondido,MX,15.85,-97.0667,79.7,70,0,3.65,clear sky
209,Lanzhou,CN,36.0564,103.7922,4.28,58,33,0.16,scattered clouds
210,Faya,SA,18.3851,42.4509,55.51,79,14,4.14,few clouds
211,Sur,OM,22.5667,59.5289,70.07,68,0,2.89,clear sky
212,Shimoda,JP,34.6667,138.95,43.16,75,99,9.53,overcast clouds
213,Sorkjosen,NO,69.8,20.9333,18.0,71,34,8.55,scattered clouds
214,Guapiles,CR,10.2159,-83.7866,82.98,93,39,1.7,scattered clouds
215,Ahipara,NZ,-35.1667,173.1667,75.9,52,98,13.35,overcast clouds
216,Grand Gaube,MU,-20.0064,57.6608,79.2,82,100,3.0,overcast clouds
217,Ayan,RU,56.45,138.1667,1.67,66,100,15.59,overcast clouds
218,Gat,IL,31.61,34.7642,48.4,100,0,5.48,clear sky
219,Caluquembe,AO,-13.7833,14.6833,57.92,87,100,7.61,overcast clouds
220,Matagami,CA,49.7502,-77.6328,-7.49,84,75,2.3,broken clouds
221,Tahta,EG,26.7693,31.5021,46.72,49,1,4.81,clear sky
222,Owando,CG,-0.4819,15.8999,72.03,47,96,3.56,overcast clouds
223,Pervomayskoye,RU,43.919,46.7102,34.25,86,45,5.35,scattered clouds
224,Urussu,RU,54.5981,53.4631,23.74,97,99,5.35,overcast clouds
225,Northam,GB,51.0333,-4.2167,48.02,81,81,24.09,broken clouds
226,Tricase,IT,39.9304,18.3553,33.15,68,0,10.69,clear sky
227,Sandnessjoen,NO,66.0217,12.6316,29.64,84,91,3.0,overcast clouds
228,Tadine,NC,-21.55,167.8833,81.97,79,97,9.26,overcast clouds
229,Airai,TL,-8.9266,125.4092,66.16,77,87,4.74,overcast clouds
230,Terra Nova,BR,-12.3667,-40.6667,69.1,87,43,1.48,scattered clouds
231,Dingle,PH,10.9995,122.6711,78.4,85,47,5.21,scattered clouds
232,Hithadhoo,MV,-0.6,73.0833,81.55,71,65,9.46,broken clouds
233,Esperance,AU,-33.8667,121.9,67.84,77,31,18.3,scattered clouds
234,Salalah,OM,17.0151,54.0924,68.09,77,0,5.75,clear sky
235,Broome,US,42.2506,-75.833,14.38,74,0,3.0,clear sky
236,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,92,94,6.76,overcast clouds
237,Bontang,ID,0.1333,117.5,77.25,87,100,4.25,overcast clouds
238,Batemans Bay,AU,-35.7167,150.1833,82.98,64,20,5.93,few clouds
239,Butler,US,39.4501,-84.5666,35.6,68,0,9.22,clear sky
240,Henties Bay,NA,-22.116,14.2845,66.85,79,100,8.57,overcast clouds
241,Karratha,AU,-20.7377,116.8463,89.08,48,74,15.32,broken clouds
242,Kloulklubed,PW,7.0419,134.2556,79.3,73,98,13.85,overcast clouds
243,Rio Tercero,AR,-32.173,-64.1141,69.48,61,16,6.06,few clouds
244,Dicabisagan,PH,17.0818,122.4157,73.63,88,80,12.73,broken clouds
245,Lerwick,GB,60.1545,-1.1494,37.4,97,100,6.76,overcast clouds
246,Hasaki,JP,35.7333,140.8333,37.8,46,100,16.46,overcast clouds
247,Thyboron,DK,56.6985,8.2124,38.21,80,100,7.76,overcast clouds
248,Almeirim,BR,-1.5233,-52.5817,74.35,96,79,4.45,light rain
249,Mokhsogollokh,RU,61.4681,128.9203,-18.99,99,100,3.83,overcast clouds
250,Nouadhibou,MR,20.931,-17.0347,64.38,63,100,16.11,overcast clouds
251,Oranjemund,NA,-28.55,16.4333,65.26,91,85,6.35,overcast clouds
252,Fort Saint James,CA,54.4333,-124.25,32.2,97,94,2.48,overcast clouds
253,Port Keats,AU,-14.25,129.55,83.43,77,82,22.59,broken clouds
254,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.51,96,100,1.1,overcast clouds
255,Raudeberg,NO,61.9875,5.1352,32.86,67,100,1.01,overcast clouds
256,Husavik,IS,66.0449,-17.3389,24.71,81,47,32.23,scattered clouds
257,Pisco,PE,-13.7,-76.2167,73.45,73,75,3.44,broken clouds
258,Myrtle Beach,US,33.6891,-78.8867,46.04,58,0,11.5,clear sky
259,Porto Belo,BR,-27.1578,-48.5531,75.15,70,91,6.26,overcast clouds
260,Windhoek,NA,-22.5594,17.0832,66.11,94,100,1.14,overcast clouds
261,Upernavik,GL,72.7868,-56.1549,-4.59,97,100,2.73,overcast clouds
262,Harlingen,US,26.1906,-97.6961,69.89,55,100,14.97,overcast clouds
263,Khandyga,RU,62.6667,135.6,-38.07,100,82,0.65,broken clouds
264,Wagar,SD,16.1525,36.2032,66.69,66,1,8.3,clear sky
265,Kruisfontein,ZA,-34.0033,24.7314,65.88,95,87,2.68,overcast clouds
266,Kongolo,CD,-5.3833,27.0,69.51,97,100,2.68,overcast clouds
267,Rio Gallegos,AR,-51.6226,-69.2181,55.45,35,75,27.63,broken clouds
268,Aklavik,CA,68.2191,-135.0107,2.23,96,100,3.58,overcast clouds
269,Guasdualito,VE,7.2424,-70.7324,87.8,42,50,2.3,scattered clouds
270,Yerbogachen,RU,61.2767,108.0108,-16.64,100,95,3.18,overcast clouds
271,Morro Bay,US,35.3658,-120.8499,71.4,51,0,1.01,clear sky
272,Aksarayskiy,RU,46.7924,48.0119,24.75,92,67,2.48,broken clouds
273,Domoni,KM,-12.2569,44.5319,78.6,83,11,4.52,few clouds
274,Fowa,NG,8.9167,6.4,74.01,12,91,5.21,overcast clouds
